text,label
"This vitamin supplement supports your immune system",0
"Our product is clinically tested and safe",0
"This cream will CURE all your skin problems permanently",2
"Guaranteed to treat diabetes without medication",2
"May help reduce inflammation based on studies",0
"This pill can replace your doctor's prescription",2
"Lose 50 pounds in one week guaranteed",2
"Supports healthy weight management when combined with diet",0
"Scientifically formulated to support joint health",0
"Miracle cure for cancer! No side effects!",2
